Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 11.247 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 13.618 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 15.307 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 7.620 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 8.481 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 7.582 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 4.140 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 5.444 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 4.462 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.870 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 4.410 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 4.016 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.633 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.514 ms
Wed Nov 05 2025 10:48:57 [SERVER-NAME] info: 10.10.7.14 - GET /image/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1760943054838.jpg 200 - 0.660 ms
Wed Nov 05 2025 10:49:8 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 2.010 ms
Wed Nov 05 2025 10:49:9 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 2.184 ms
Wed Nov 05 2025 10:49:9 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f70a47a2b62f7d25c0c204 200 - 5.731 ms
Wed Nov 05 2025 10:49:10 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 2.077 ms
Wed Nov 05 2025 10:49:10 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68fa1db17816de2b1569d5bb 200 - 4.401 ms
Wed Nov 05 2025 10:49:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 2.155 ms
Wed Nov 05 2025 10:49:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 5.954 ms
Wed Nov 05 2025 10:49:13 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 1.674 ms
Wed Nov 05 2025 10:49:13 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories?groupId=68d21f8bdd68b7214c680dd7 200 - 2.140 ms
Wed Nov 05 2025 10:49:13 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 4.285 ms
Wed Nov 05 2025 10:49:14 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories?groupId=68d21f8bdd68b7214c680dd7 200 - 1.927 ms
Wed Nov 05 2025 10:49:14 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68ee41af04777740f9207df3 200 - 4.418 ms
Wed Nov 05 2025 10:49:14 [SERVER-NAME] info: 10.10.7.14 - GET /image/whatsapp-image-2025-10-17-at-15.20.55_839b385c-1760854724802.jpg 200 - 54.542 ms
Wed Nov 05 2025 10:49:14 [SERVER-NAME] info: 10.10.7.14 - GET /image/imgi_93_product+showcase-1-1760783035302.jpg 200 - 47.944 ms
Wed Nov 05 2025 10:49:16 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories?groupId=68d21f8bdd68b7214c680dd7 200 - 2.055 ms
Wed Nov 05 2025 10:49:16 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 5.181 ms
Wed Nov 05 2025 10:49:16 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories?groupId=68d21f8bdd68b7214c680dd7 200 - 2.797 ms
Wed Nov 05 2025 10:49:16 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?groupId=68d21f8bdd68b7214c680dd7 200 - 3.887 ms
Wed Nov 05 2025 10:49:18 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.097 ms
Wed Nov 05 2025 10:49:18 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 2.479 ms
Wed Nov 05 2025 10:49:18 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 3.818 ms
Wed Nov 05 2025 10:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 6.161 ms
Wed Nov 05 2025 10:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 6.690 ms
Wed Nov 05 2025 10:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 7.364 ms
Wed Nov 05 2025 10:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 9.302 ms
Wed Nov 05 2025 10:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 7.214 ms
Wed Nov 05 2025 10:51:25 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.908 ms
Wed Nov 05 2025 10:51:25 [SERVER-NAME] info: 10.10.7.14 - GET /image/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1760943054838.jpg 200 - 0.823 ms
Wed Nov 05 2025 10:54:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 5.327 ms
Wed Nov 05 2025 10:54:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 6.212 ms
Wed Nov 05 2025 10:54:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 6.969 ms
Wed Nov 05 2025 10:54:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 9.029 ms
Wed Nov 05 2025 10:54:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 5.004 ms
Wed Nov 05 2025 10:54:37 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.840 ms
Wed Nov 05 2025 10:54:37 [SERVER-NAME] info: 10.10.7.14 - GET /image/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1760943054838.jpg 200 - 0.497 ms
Wed Nov 05 2025 10:55:22 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 4.665 ms
Wed Nov 05 2025 10:55:22 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 5.086 ms
Wed Nov 05 2025 10:55:22 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 3.930 ms
Wed Nov 05 2025 10:55:22 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 7.167 ms
Wed Nov 05 2025 10:55:22 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 12.725 ms
Wed Nov 05 2025 10:56:55 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 5.960 ms
Wed Nov 05 2025 10:56:55 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 6.486 ms
Wed Nov 05 2025 10:56:55 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 7.087 ms
Wed Nov 05 2025 10:56:55 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 9.349 ms
Wed Nov 05 2025 10:56:55 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 5.441 ms
Wed Nov 05 2025 10:56:56 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.660 ms
Wed Nov 05 2025 10:56:56 [SERVER-NAME] info: 10.10.7.14 - GET /image/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1760943054838.jpg 200 - 0.466 ms
